rank_id,original_id,n_blocks,ranking_metric,rank,metric_value,fitness,params,flops,op_codes,width_codes
60ec65c1,ddd67b9e,20,Fitness,5,2938488.0,2938488.0,2365210,283944064,"[7, 14, 7, 6, 14, 7, 6, 9, 8, 14, 12, 15, 14, 15, 4, 4, 5, 14, 8, 9]","[0, 2, 2, 2, 2, 2, 1]"
c64afa9a,59dccabb,20,Efficiency1 (Fitness/Params),1,1.9387132225580257,1622955.0,837130,116560000,"[6, 15, 15, 4, 14, 14, 14, 7, 6, 14, 12, 14, 7, 3, 11, 8, 10, 8, 10, 4]","[2, 2, 0, 0, 0, 0, 2]"
91992d1d,716bcf41,20,Efficiency1 (Fitness/Params),2,1.727052164695503,1573873.0,911306,142573184,"[13, 10, 13, 14, 13, 15, 14, 14, 9, 8, 6, 14, 7, 7, 8, 9, 1, 14, 16, 4]","[0, 0, 2, 0, 1, 0, 0]"
1a122e18,055a3fd3,20,Efficiency1 (Fitness/Params),3,1.6693078661898555,1954015.0,1170554,160066432,"[7, 13, 7, 15, 14, 5, 5, 14, 4, 14, 13, 7, 13, 14, 11, 1, 7, 2, 6, 4]","[0, 2, 1, 2, 0, 0, 1]"
22cdf9de,859e4854,20,Efficiency1 (Fitness/Params),4,1.5452054477265194,2135032.0,1381714,206170624,"[7, 14, 7, 15, 15, 7, 15, 7, 7, 2, 14, 15, 14, 15, 6, 4, 12, 16, 8, 10]","[0, 2, 2, 1, 1, 1, 0]"
4d6ef628,4e520844,20,Efficiency1 (Fitness/Params),5,1.514868861648802,2232132.0,1473482,181034624,"[6, 6, 6, 4, 6, 6, 14, 7, 1, 15, 15, 15, 13, 12, 6, 13, 13, 4, 14, 7]","[2, 2, 2, 0, 1, 0, 1]"
6d61aaf6,59dccabb,20,Efficiency2 (Fitness/FLOPs),1,0.01392377316403569,1622955.0,837130,116560000,"[6, 15, 15, 4, 14, 14, 14, 7, 6, 14, 12, 14, 7, 3, 11, 8, 10, 8, 10, 4]","[2, 2, 0, 0, 0, 0, 2]"
d61a1e97,b767f0e9,20,Efficiency2 (Fitness/FLOPs),2,0.013073010533803657,2312370.0,1961530,176881216,"[5, 15, 15, 15, 6, 13, 6, 12, 12, 7, 15, 7, 8, 13, 12, 7, 7, 12, 11, 3]","[2, 0, 2, 2, 0, 1, 0]"
74c9c813,4e520844,20,Efficiency2 (Fitness/FLOPs),3,0.012329862380358799,2232132.0,1473482,181034624,"[6, 6, 6, 4, 6, 6, 14, 7, 1, 15, 15, 15, 13, 12, 6, 13, 13, 4, 14, 7]","[2, 2, 2, 0, 1, 0, 1]"
519160bc,055a3fd3,20,Efficiency2 (Fitness/FLOPs),4,0.012207525185542963,1954015.0,1170554,160066432,"[7, 13, 7, 15, 14, 5, 5, 14, 4, 14, 13, 7, 13, 14, 11, 1, 7, 2, 6, 4]","[0, 2, 1, 2, 0, 0, 1]"
32267fb0,cf812f45,20,Efficiency2 (Fitness/FLOPs),5,0.011107738838615723,2268946.0,2557530,204267136,"[6, 15, 4, 7, 12, 14, 14, 15, 14, 7, 14, 12, 5, 5, 6, 2, 12, 4, 5, 15]","[2, 2, 1, 1, 0, 2, 1]"
cc15ea86,59dccabb,20,Efficiency3 (Fitness/Conv+FC FLOPs),1,0.014622607339941529,1622955.0,837130,116560000,"[6, 15, 15, 4, 14, 14, 14, 7, 6, 14, 12, 14, 7, 3, 11, 8, 10, 8, 10, 4]","[2, 2, 0, 0, 0, 0, 2]"
249f5d07,b767f0e9,20,Efficiency3 (Fitness/Conv+FC FLOPs),2,0.013638245619001784,2312370.0,1961530,176881216,"[5, 15, 15, 15, 6, 13, 6, 12, 12, 7, 15, 7, 8, 13, 12, 7, 7, 12, 11, 3]","[2, 0, 2, 2, 0, 1, 0]"
538cd56f,4e520844,20,Efficiency3 (Fitness/Conv+FC FLOPs),3,0.012863034213094404,2232132.0,1473482,181034624,"[6, 6, 6, 4, 6, 6, 14, 7, 1, 15, 15, 15, 13, 12, 6, 13, 13, 4, 14, 7]","[2, 2, 2, 0, 1, 0, 1]"
ad424cc1,055a3fd3,20,Efficiency3 (Fitness/Conv+FC FLOPs),4,0.012770159338995486,1954015.0,1170554,160066432,"[7, 13, 7, 15, 14, 5, 5, 14, 4, 14, 13, 7, 13, 14, 11, 1, 7, 2, 6, 4]","[0, 2, 1, 2, 0, 0, 1]"
844486bf,716bcf41,20,Efficiency3 (Fitness/Conv+FC FLOPs),5,0.011528834843835118,1573873.0,911306,142573184,"[13, 10, 13, 14, 13, 15, 14, 14, 9, 8, 6, 14, 7, 7, 8, 9, 1, 14, 16, 4]","[0, 0, 2, 0, 1, 0, 0]"
