epochs,lr,mixup,label_smoothing,cutout,top1,log_file
120,0.2,-1.0,0.1,False,95.05,ft_e120_lr0.2_mix-1_ls0.1_cutoff.log
120,0.2,-1.0,0.0,True,95.79,ft_e120_lr0.2_mix-1_ls0_cuton.log
120,0.2,-1.0,0.0,False,95.12,ft_e120_lr0.2_mix-1_ls0_cutoff.log
120,0.1,0.2,0.1,True,96.11,ft_e120_lr0.1_mix0.2_ls0.1_cuton.log
120,0.1,0.2,0.1,False,95.55,ft_e120_lr0.1_mix0.2_ls0.1_cutoff.log
120,0.1,0.2,0.0,True,96.22,ft_e120_lr0.1_mix0.2_ls0_cuton.log
120,0.1,0.2,0.0,False,95.6,ft_e120_lr0.1_mix0.2_ls0_cutoff.log
120,0.1,-1.0,0.1,True,96.41,ft_e120_lr0.1_mix-1_ls0.1_cuton.log
120,0.1,-1.0,0.1,False,95.28,ft_e120_lr0.1_mix-1_ls0.1_cutoff.log
120,0.1,-1.0,0.0,True,96.17,ft_e120_lr0.1_mix-1_ls0_cuton.log
120,0.1,-1.0,0.0,False,95.24,ft_e120_lr0.1_mix-1_ls0_cutoff.log
120,0.05,0.2,0.1,True,95.48,ft_e120_lr0.05_mix0.2_ls0.1_cuton.log
120,0.05,0.2,0.1,False,94.72,ft_e120_lr0.05_mix0.2_ls0.1_cutoff.log
120,0.05,0.2,0.0,True,95.74,ft_e120_lr0.05_mix0.2_ls0_cuton.log
120,0.05,0.2,0.0,False,95.04,ft_e120_lr0.05_mix0.2_ls0_cutoff.log
120,0.05,-1.0,0.1,True,95.47,ft_e120_lr0.05_mix-1_ls0.1_cuton.log
120,0.05,-1.0,0.1,False,94.3,ft_e120_lr0.05_mix-1_ls0.1_cutoff.log
120,0.05,-1.0,0.0,True,95.56,ft_e120_lr0.05_mix-1_ls0_cuton.log
120,0.05,-1.0,0.0,False,94.73,ft_e120_lr0.05_mix-1_ls0_cutoff.log
200,0.2,0.2,0.1,True,96.16,ft_e200_lr0.2_mix0.2_ls0.1_cuton.log
200,0.2,0.2,0.1,False,95.86,ft_e200_lr0.2_mix0.2_ls0.1_cutoff.log
200,0.2,0.2,0.0,True,96.15,ft_e200_lr0.2_mix0.2_ls0_cuton.log
200,0.2,0.2,0.0,False,95.82,ft_e200_lr0.2_mix0.2_ls0_cutoff.log
200,0.2,-1.0,0.1,True,96.16,ft_e200_lr0.2_mix-1_ls0.1_cuton.log
200,0.2,-1.0,0.1,False,95.29,ft_e200_lr0.2_mix-1_ls0.1_cutoff.log
200,0.2,-1.0,0.0,True,95.79,ft_e200_lr0.2_mix-1_ls0_cuton.log
200,0.2,-1.0,0.0,False,95.14,ft_e200_lr0.2_mix-1_ls0_cutoff.log
200,0.1,0.2,0.1,True,96.64,ft_e200_lr0.1_mix0.2_ls0.1_cuton.log
200,0.1,0.2,0.1,False,96.22,ft_e200_lr0.1_mix0.2_ls0.1_cutoff.log
200,0.1,0.2,0.0,True,96.74,ft_e200_lr0.1_mix0.2_ls0_cuton.log
200,0.1,0.2,0.0,False,96.17,ft_e200_lr0.1_mix0.2_ls0_cutoff.log
200,0.1,-1.0,0.1,True,96.95,ft_e200_lr0.1_mix-1_ls0.1_cuton.log
200,0.1,-1.0,0.1,False,95.51,ft_e200_lr0.1_mix-1_ls0.1_cutoff.log
200,0.1,-1.0,0.0,True,96.59,ft_e200_lr0.1_mix-1_ls0_cuton.log
200,0.1,-1.0,0.0,False,95.92,ft_e200_lr0.1_mix-1_ls0_cutoff.log
200,0.05,0.2,0.1,True,96.34,ft_e200_lr0.05_mix0.2_ls0.1_cuton.log
200,0.05,0.2,0.1,False,96.0,ft_e200_lr0.05_mix0.2_ls0.1_cutoff.log
200,0.05,0.2,0.0,True,96.2,ft_e200_lr0.05_mix0.2_ls0_cuton.log
200,0.05,0.2,0.0,False,95.92,ft_e200_lr0.05_mix0.2_ls0_cutoff.log
200,0.05,-1.0,0.1,True,96.02,ft_e200_lr0.05_mix-1_ls0.1_cuton.log
200,0.05,-1.0,0.1,False,95.11,ft_e200_lr0.05_mix-1_ls0.1_cutoff.log
200,0.05,-1.0,0.0,True,96.26,ft_e200_lr0.05_mix-1_ls0_cuton.log
200,0.05,-1.0,0.0,False,95.25,ft_e200_lr0.05_mix-1_ls0_cutoff.log
300,0.2,0.2,0.1,True,96.46,ft_e300_lr0.2_mix0.2_ls0.1_cuton.log
300,0.2,0.2,0.1,False,95.91,ft_e300_lr0.2_mix0.2_ls0.1_cutoff.log
300,0.2,0.2,0.0,True,95.93,ft_e300_lr0.2_mix0.2_ls0_cuton.log
300,0.2,0.2,0.0,False,95.62,ft_e300_lr0.2_mix0.2_ls0_cutoff.log
300,0.2,-1.0,0.1,True,95.92,ft_e300_lr0.2_mix-1_ls0.1_cuton.log
300,0.2,-1.0,0.1,False,95.39,ft_e300_lr0.2_mix-1_ls0.1_cutoff.log
300,0.2,-1.0,0.0,True,95.81,ft_e300_lr0.2_mix-1_ls0_cuton.log
300,0.2,-1.0,0.0,False,95.04,ft_e300_lr0.2_mix-1_ls0_cutoff.log
300,0.1,0.2,0.1,True,96.98,ft_e300_lr0.1_mix0.2_ls0.1_cuton.log
300,0.1,0.2,0.1,False,96.19,ft_e300_lr0.1_mix0.2_ls0.1_cutoff.log
300,0.1,0.2,0.0,True,96.85,ft_e300_lr0.1_mix0.2_ls0_cuton.log
300,0.1,0.2,0.0,False,96.34,ft_e300_lr0.1_mix0.2_ls0_cutoff.log
300,0.1,-1.0,0.1,True,96.76,ft_e300_lr0.1_mix-1_ls0.1_cuton.log
300,0.1,-1.0,0.1,False,96.02,ft_e300_lr0.1_mix-1_ls0.1_cutoff.log
300,0.1,-1.0,0.0,True,96.53,ft_e300_lr0.1_mix-1_ls0_cuton.log
300,0.1,-1.0,0.0,False,95.61,ft_e300_lr0.1_mix-1_ls0_cutoff.log
300,0.05,0.2,0.1,True,96.98,ft_e300_lr0.05_mix0.2_ls0.1_cuton.log
300,0.05,0.2,0.1,False,96.32,ft_e300_lr0.05_mix0.2_ls0.1_cutoff.log
300,0.05,0.2,0.0,True,97.04,ft_e300_lr0.05_mix0.2_ls0_cuton.log
300,0.05,0.2,0.0,False,96.31,ft_e300_lr0.05_mix0.2_ls0_cutoff.log
300,0.05,-1.0,0.1,True,96.61,ft_e300_lr0.05_mix-1_ls0.1_cuton.log
300,0.05,-1.0,0.1,False,95.38,ft_e300_lr0.05_mix-1_ls0.1_cutoff.log
300,0.05,-1.0,0.0,True,96.55,ft_e300_lr0.05_mix-1_ls0_cuton.log
300,0.05,-1.0,0.0,False,95.84,ft_e300_lr0.05_mix-1_ls0_cutoff.log
